MF,P1,P2,P3,P4,P5,P8,P9,P10,P11,P12,P13,P14,P15,P17,P18,P19,P20,Q1,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q17,Q18,Q19,Q20
_2758,-1.137440366,-1.137440366,-1.137440366,-0.05081003,-1.137440366,0.454774919,0.530235359,-1.137440366,0.027165758,-1.137440366,0.326492171,-1.137440366,-1.137440366,-0.008049114,-1.137440366,0.238454991,-1.137440366,1.337662067,1.692326135,1.403061115,1.536374559,1.435760639,0.218332206,1.498644339,-1.137440366,-1.011672966,0.424590743,0.663548803,0.905022211,0.867291991,0.796862247,0.394406567,-0.50357267,-1.137440366,0.472382355
_218,-0.799511361,-0.799511361,-0.799511361,-0.799511361,-0.799511361,-0.799511361,-0.799511361,1.8839041,-0.799511361,-0.799511361,-0.799511361,-0.799511361,0.433653722,-0.799511361,-0.799511361,-0.452777903,-0.799511361,-0.799511361,1.434658141,-0.799511361,-0.799511361,-0.648757683,-0.05177312,1.844708144,0.599482767,0.126116219,0.098980557,0.692950047,1.871843806,-0.573380845,1.18742211,1.018577991,1.793451894,1.500989759,0.831643431
_2791,-0.827948928,-0.827948928,-0.827948928,-0.05556179,-0.827948928,-0.019955291,-0.827948928,-0.827948928,-0.827948928,-0.250028055,-0.827948928,-0.827948928,-0.827948928,-0.827948928,-0.827948928,0.368977239,-0.691000854,1.659028097,1.839799555,1.705590442,1.845277478,1.806932017,-0.827948928,1.672722904,0.004695363,-0.827948928,1.163276069,0.144382398,0.815427961,0.878424075,0.848295499,0.062213554,-0.827948928,-0.827948928,-0.551313818
_1146,-0.50545676,-0.50545676,-0.50545676,-0.50545676,-0.50545676,-0.50545676,-0.50545676,-0.50545676,-0.50545676,-0.50545676,-0.50545676,-0.50545676,-0.50545676,-0.50545676,-0.50545676,-0.50545676,-0.50545676,0.467747476,0.161121484,-0.50545676,-0.50545676,-0.50545676,2.254177169,-0.50545676,1.374293887,-0.50545676,-0.50545676,0.267774003,2.814102893,1.547604231,-0.50545676,0.294437133,-0.50545676,3.13406045,0.321100262
_3622,-0.582683199,-0.582683199,-0.582683199,-0.582683199,-0.582683199,-0.582683199,-0.582683199,-0.582683199,-0.582683199,-0.582683199,-0.582683199,-0.582683199,-0.582683199,-0.582683199,-0.582683199,-0.582683199,-0.582683199,1.883391084,1.558979975,-0.445220864,-0.582683199,1.435263874,-0.582683199,-0.582683199,1.866895604,1.616714155,-0.582683199,1.561729221,-0.582683199,1.440762367,1.767922723,-0.582683199,-0.582683199,-0.582683199,1.880641838
_1064,-0.578285399,-0.578285399,-0.578285399,-0.578285399,-0.578285399,-0.578285399,-0.578285399,-0.578285399,-0.578285399,-0.578285399,-0.578285399,-0.578285399,-0.578285399,-0.578285399,-0.578285399,-0.578285399,-0.578285399,0.584932357,-0.578285399,-0.578285399,0.31649749,-0.578285399,1.229176037,-0.578285399,1.193384722,-0.578285399,2.392393793,2.49976774,1.962898006,1.783941428,1.515506562,0.978636828,-0.578285399,-0.578285399,-0.578285399
_2531,-0.562796062,-0.562796062,-0.562796062,-0.562796062,-0.562796062,-0.562796062,-0.562796062,-0.562796062,-0.562796062,-0.562796062,-0.562796062,-0.562796062,-0.562796062,-0.562796062,-0.562796062,-0.562796062,-0.562796062,1.930848903,1.87285716,1.766538964,2.597753952,1.863191869,-0.562796062,1.969510066,-0.562796062,-0.562796062,0.877332232,-0.562796062,-0.079531534,0.780679326,0.490720609,-0.562796062,-0.562796062,-0.562796062,-0.562796062
_2737,-0.516079333,-0.516079333,-0.516079333,-0.516079333,-0.516079333,-0.516079333,-0.516079333,-0.516079333,-0.516079333,-0.516079333,-0.516079333,-0.516079333,-0.516079333,-0.516079333,-0.516079333,-0.516079333,-0.516079333,1.87026311,2.45767048,1.891241944,2.316063346,2.080051456,-0.516079333,2.069562039,-0.516079333,-0.516079333,0.013636243,-0.516079333,0.02412566,0.433212936,-0.253843899,-0.516079333,-0.516079333,-0.516079333,-0.516079333
_3053,-0.529820778,-0.529820778,-0.529820778,-0.529820778,-0.529820778,-0.529820778,-0.529820778,-0.529820778,-0.529820778,-0.529820778,-0.529820778,-0.529820778,-0.529820778,-0.529820778,-0.529820778,-0.529820778,-0.529820778,1.89067192,2.263496624,2.143045566,2.303646977,2.303646977,-0.529820778,1.586676391,-0.529820778,-0.529820778,0.640275218,-0.529820778,-0.243032544,0.296129337,0.060962985,-0.529820778,-0.529820778,-0.529820778,-0.529820778
_3596,-0.525200396,-0.525200396,-0.525200396,-0.525200396,-0.525200396,-0.525200396,-0.525200396,-0.525200396,-0.525200396,-0.525200396,-0.525200396,-0.525200396,-0.525200396,-0.525200396,-0.525200396,-0.525200396,-0.525200396,1.946834041,2.177785355,1.801420251,2.408736669,2.177785355,-0.525200396,2.152124098,-0.525200396,-0.525200396,0.338728594,-0.525200396,-0.097512777,0.099223528,0.124884785,-0.525200396,-0.525200396,-0.525200396,-0.525200396
_6274,-0.37124057,-0.33937593,-1.925254578,-0.31976692,-1.925254578,-0.207015115,-0.131030203,-0.256037639,-0.059947544,-0.09426331,-0.334473677,-1.802698268,-1.925254578,-0.202112863,-0.503601385,0.11163129,-0.405556337,1.16806668,1.371510155,1.062668254,1.293074116,1.158262176,0.655781306,1.217089204,0.861675906,-0.520759268,0.854322527,0.795495499,0.832262392,0.908247304,0.908247304,0.75627748,-0.290353406,-1.925254578,-0.415360842
_752,-0.336230577,-0.257701986,1.066065679,-0.684000048,-0.796183748,-1.27857366,-0.302575466,-1.11029811,-0.549379607,-1.28979203,-0.807402118,0.235906296,-1.22248181,-0.942022559,-0.325012206,-1.009332779,-0.594253088,1.30165145,2.524453785,1.458708631,1.26799634,1.021192199,0.224687926,1.660639292,-0.583034718,-1.21126344,1.12215753,0.269561406,1.2455596,0.897790129,-0.639126568,0.269561406,0.258343036,-0.425977537,-0.459632647
_568,0.060442066,-0.858478443,-0.858478443,-0.858478443,-0.858478443,-0.858478443,-0.858478443,-0.858478443,-0.858478443,-0.858478443,-0.56520594,-0.858478443,-0.858478443,-0.858478443,-0.662963441,0.009608166,-0.166355336,-0.858478443,1.769243184,1.38994408,1.573728182,1.628472382,0.955900775,1.268724778,0.619614972,-0.858478443,1.081030377,1.237442378,0.955900775,1.225711478,1.202249678,1.010644976,-0.858478443,-0.858478443,-0.858478443
_2346,-0.233833684,-1.151419206,-1.151419206,-0.399113064,-0.866454758,-1.151419206,-0.387714486,-0.450406664,-1.151419206,-0.416210931,-0.193938661,-0.735371112,-1.151419206,-1.151419206,0.906024107,-0.285127285,-1.151419206,1.903399675,1.612735938,1.38476438,1.675428117,1.43605798,0.313298056,1.55004376,0.67235326,-1.151419206,0.814835484,0.72934615,0.461479569,0.757842594,0.575465348,0.546968903,-0.575791022,-1.151419206,-0.433308798
_2554,-0.351173603,-1.500242612,-0.580987405,-0.628535088,-1.428921088,-0.113435187,0.211473981,-0.501741266,-0.319475147,-0.335324375,-0.50966588,-0.081736732,-0.890047345,-0.75532891,-2.292703998,-0.691931999,-0.208530553,0.655252357,1.859793664,0.821669248,2.042059783,1.709226001,0.211473981,1.629979862,0.702800041,-0.533439722,1.027709209,0.433363169,0.663176971,0.996010753,0.528458536,0.789970793,-0.929670414,-0.897971959,-0.731555068
_859,-0.521882587,-1.927782986,-0.619214153,-0.624621463,-0.64084339,-0.608399535,-0.6462507,0.440618454,-1.084242747,-0.170407488,-0.786840739,-0.705731101,-0.559733752,-0.127149014,-0.667879936,-0.408329094,0.505506165,-2.198148447,0.662318133,0.54335733,0.754242389,0.516320784,1.338231786,0.148623756,1.176012509,-0.43536564,1.511265681,1.505858372,1.37608295,1.559931464,1.349046404,1.468007207,-0.538104515,-1.057206201,-0.527289897
_1111,-0.797071033,-0.844483484,-0.910860916,-0.977238347,0.283932849,-1.204818112,-0.076401778,-1.157405661,-0.076401778,-1.59360021,-0.256569092,-0.872930955,-2.209962073,0.160660477,0.32186281,0.644267477,-0.531561308,0.909777202,0.122730516,1.535621555,0.653749967,-0.010024347,-1.062580759,2.22784334,0.236520398,-0.133296719,1.497691595,-0.465183876,1.497691595,0.881329732,0.227037908,-0.066919288,1.886473693,0.037388104,0.122730516
_6359,-0.515179711,-0.515179711,-0.515179711,-0.515179711,-0.515179711,-0.515179711,-0.515179711,-0.515179711,-0.515179711,-0.515179711,-0.515179711,-0.515179711,-0.515179711,-0.515179711,-0.515179711,-0.515179711,-0.515179711,2.676378925,0.684195828,-0.515179711,-0.515179711,0.501240237,-0.515179711,-0.515179711,2.452766537,0.907808216,-0.515179711,0.948465014,-0.515179711,0.602882232,1.842914568,-0.515179711,-0.515179711,-0.515179711,2.77802092
_6196,-0.497426978,-0.497426978,-0.497426978,-0.497426978,-0.497426978,-0.497426978,-0.497426978,-0.497426978,-0.497426978,-0.497426978,-0.497426978,-0.497426978,-0.497426978,-0.497426978,-0.497426978,-0.497426978,-0.497426978,-0.497426978,2.003556102,2.546405143,-0.497426978,0.704595898,0.840308158,0.471946309,-0.497426978,-0.497426978,-0.497426978,1.014795349,3.554553361,0.471946309,-0.497426978,-0.497426978,-0.497426978,-0.497426978,1.324994801
_6452,-0.518257686,-0.518257686,-0.518257686,-0.518257686,-0.518257686,-0.518257686,-0.518257686,-0.518257686,-0.518257686,-0.518257686,-0.518257686,-0.518257686,-0.518257686,-0.518257686,-0.518257686,-0.518257686,-0.518257686,2.588001382,0.823953023,-0.518257686,-0.518257686,0.459638687,-0.518257686,-0.518257686,2.588001382,1.054046287,-0.518257686,1.054046287,-0.518257686,0.440464249,1.821023834,-0.518257686,-0.518257686,-0.518257686,2.645524698
_6609,-0.52110285,-0.52110285,-0.52110285,-0.52110285,-0.52110285,-0.52110285,-0.52110285,-0.52110285,-0.52110285,-0.52110285,-0.52110285,-0.52110285,-0.52110285,-0.52110285,-0.52110285,-0.52110285,-0.52110285,2.618804867,0.855029544,-0.52110285,-0.52110285,0.603061641,-0.52110285,-0.52110285,2.521894135,1.126379594,-0.52110285,0.893793837,-0.52110285,0.44800447,1.843519011,-0.52110285,-0.52110285,-0.52110285,2.638187013
_858,-0.486838415,-0.486838415,-0.486838415,-0.486838415,-0.486838415,-0.486838415,-0.486838415,-0.486838415,-0.486838415,-0.486838415,-0.486838415,-0.486838415,-0.486838415,-0.486838415,-0.486838415,-0.486838415,-0.486838415,2.017848035,2.414111861,1.808501107,2.406635185,1.965511303,-0.486838415,2.234671638,-0.113004617,-0.486838415,-0.075621237,-0.486838415,-0.486838415,-0.486838415,-0.000854477,-0.486838415,-0.486838415,-0.486838415,-0.486838415
_3621,-0.526460891,-0.526460891,-0.526460891,-0.526460891,-0.526460891,-0.526460891,-0.526460891,-0.526460891,-0.526460891,-0.526460891,-0.526460891,-0.526460891,-0.526460891,-0.526460891,-0.526460891,-0.526460891,-0.526460891,2.876274133,0.693387514,-0.526460891,-0.526460891,0.992999403,-0.526460891,-0.526460891,1.998839316,0.54358157,-0.526460891,1.271210443,-0.526460891,0.693387514,2.341252903,-0.526460891,-0.526460891,-0.526460891,2.277050356
_2579,-0.530480305,-0.530480305,-0.530480305,-0.530480305,-0.530480305,-0.530480305,-0.530480305,-0.530480305,-0.530480305,-0.530480305,-0.530480305,-0.530480305,-0.530480305,-0.530480305,-0.530480305,-0.530480305,-0.530480305,-0.530480305,0.753041768,3.098789005,-0.530480305,0.664523004,-0.530480305,1.948045077,-0.530480305,-0.530480305,1.815266932,-0.530480305,0.576004241,2.235731059,1.394802804,-0.530480305,1.306284041,-0.530480305,-0.530480305
_2777,-0.515695703,-0.515695703,-0.515695703,-0.515695703,-0.515695703,-0.515695703,-0.515695703,-0.515695703,-0.515695703,-0.515695703,-0.515695703,-0.515695703,-0.515695703,-0.515695703,-0.515695703,-0.515695703,-0.515695703,1.998688058,2.008035209,1.914563694,2.727765877,2.129548179,-0.515695703,1.70892636,-0.515695703,-0.515695703,0.372283692,-0.515695703,-0.515695703,0.596615329,-0.048338126,-0.515695703,-0.515695703,-0.515695703,-0.515695703
_7178,-0.516350885,-0.516350885,-0.516350885,-0.516350885,-0.516350885,-0.516350885,-0.516350885,-0.516350885,-0.516350885,-0.516350885,-0.516350885,-0.516350885,-0.516350885,-0.516350885,-0.516350885,-0.516350885,-0.516350885,2.750561443,0.769561414,-0.516350885,-0.516350885,0.352508777,-0.516350885,-0.516350885,2.368263192,1.030219313,-0.516350885,0.925956154,-0.516350885,0.595789482,2.020719327,-0.516350885,-0.516350885,-0.516350885,2.611543897
_3703,-0.484914832,-0.484914832,-0.484914832,-0.484914832,-0.484914832,-0.484914832,-0.484914832,-0.484914832,-0.484914832,-0.484914832,-0.484914832,-0.484914832,-0.484914832,-0.484914832,-0.484914832,-0.484914832,-0.484914832,1.355849049,2.729816348,-0.484914832,-0.484914832,-0.484914832,-0.484914832,-0.484914832,0.395833436,0.043534129,-0.484914832,2.668163969,-0.484914832,1.65530346,-0.044540698,-0.484914832,-0.484914832,1.082817086,2.721008865
_3754,-0.463631275,-0.463631275,-0.463631275,-0.463631275,-0.463631275,-0.463631275,-0.463631275,-0.463631275,-0.463631275,-0.463631275,-0.463631275,-0.463631275,-0.463631275,-0.463631275,-0.463631275,-0.463631275,-0.463631275,0.08675068,2.811141355,-0.463631275,-0.463631275,-0.463631275,-0.463631275,-0.463631275,0.44449895,0.288557396,-0.463631275,2.875352583,-0.463631275,1.65533925,-0.004979646,-0.463631275,-0.463631275,1.0499191,2.847833485
_4570,-0.444923918,-0.444923918,-0.444923918,-0.444923918,-0.444923918,-0.444923918,-0.444923918,-0.444923918,-0.444923918,-0.444923918,-0.444923918,-0.444923918,-0.444923918,-0.444923918,-0.444923918,-0.444923918,-0.444923918,-0.444923918,3.766412499,-0.444923918,-0.444923918,-0.044606768,-0.444923918,-0.444923918,-0.444923918,3.045841629,-0.444923918,0.836090962,-0.444923918,0.435773812,0.579887986,0.123526435,-0.444923918,1.692769662,1.132325653
_183,-0.529642659,-0.529642659,-0.529642659,-0.529642659,-0.529642659,-0.529642659,-0.529642659,-0.529642659,-0.529642659,-0.529642659,-0.529642659,-0.529642659,-0.529642659,-0.529642659,-0.529642659,-0.529642659,-0.529642659,1.964012991,0.855721591,-0.529642659,-0.529642659,1.713328032,-0.529642659,-0.529642659,0.130054603,1.251539948,-0.529642659,1.304315729,-0.529642659,2.003594827,3.151468063,-0.529642659,-0.529642659,-0.529642659,1.396673346
_1125,-0.059562233,0.121000443,-1.208597445,0.079963471,-0.609457656,-0.478139346,-0.240124909,-0.724361177,-0.379650614,-1.208597445,-1.208597445,-1.208597445,-1.208597445,-1.208597445,-0.404272797,-0.059562233,1.023813823,-0.387858008,1.163339527,1.294657837,0.597029316,0.621651499,0.843251147,0.638066288,-1.208597445,0.720140231,-0.798227726,0.744762414,3.674802203,0.588821922,0.244111358,0.030719105,0.424674034,-0.519176318,0.309770513
_1512,-0.736523773,1.802858222,-0.736523773,0.425023196,1.394314115,1.434367459,-0.736523773,0.873620647,-0.335990335,-0.736523773,0.449055203,0.729428609,1.818879559,1.971082266,-0.736523773,1.818879559,0.59324724,-0.736523773,-0.736523773,-0.736523773,-0.736523773,-0.736523773,-0.736523773,-0.736523773,-0.736523773,-0.063627598,-0.736523773,-0.736523773,-0.736523773,-0.736523773,-0.736523773,-0.736523773,1.802858222,0.01647909,-0.736523773
_2193,-0.30161819,-1.13771285,0.263310635,-0.083179044,-1.13771285,-1.13771285,0.018508144,-0.410837762,-0.132139542,0.003443376,-1.13771285,-0.949403242,-1.13771285,-1.13771285,-0.712133135,0.444087859,-1.13771285,0.869667573,1.905370418,0.195519176,0.090065795,0.560839816,-1.13771285,-1.13771285,0.090065795,1.830046575,-1.13771285,0.93369284,0.240713482,1.479790704,1.555114547,0.719019887,-0.312916766,1.321610633,1.758488924
_2194,-0.639649221,-0.639649221,0.328567266,-0.639649221,-0.639649221,-0.639649221,-0.639649221,-0.639649221,-0.639649221,-0.639649221,-0.639649221,-0.639649221,-0.639649221,-0.639649221,-0.639649221,-0.639649221,-0.182943331,0.43817668,2.338073183,-0.639649221,-0.639649221,0.218957853,-0.639649221,-0.639649221,0.43817668,2.39287789,-0.639649221,0.830943745,-0.639649221,1.707819055,1.799160233,0.35596962,-0.639649221,1.223710811,2.182793181
_2527,-0.558132208,-0.558132208,-0.286893285,-0.558132208,-0.558132208,-0.558132208,-0.558132208,-0.558132208,-0.558132208,-0.558132208,-0.558132208,-0.558132208,-0.558132208,-0.558132208,-0.558132208,-0.558132208,-0.558132208,1.828770321,2.382097726,1.807071208,2.289876492,2.110858802,-0.558132208,1.980664119,-0.558132208,-0.558132208,0.499699595,-0.558132208,0.033168646,0.33695624,0.412903139,-0.558132208,-0.558132208,-0.558132208,-0.558132208
_3807,-1.44335772,0.344299302,-1.1562211,-1.573032322,-1.350733003,-1.035808969,0.649960865,0.603648507,0.010850324,0.242412114,-0.220711466,-0.970971667,-1.498932549,-1.434095248,-0.767197292,0.112737512,0.362824245,0.594386036,-0.970971667,0.890785127,0.612910979,-0.739409877,-0.016937091,0.798160411,-0.294811239,0.955622429,-0.70235999,1.789244874,1.613257913,0.39061166,2.270893398,1.029722202,0.464711433,-0.322598654,0.761110525
_775,1.093025585,0.649989541,1.087687801,0.991607695,-0.08128682,0.260331334,0.473842681,-1.41039495,0.500531599,0.660665109,1.082350017,0.895527589,1.007621046,0.511207166,0.319046955,-0.374864921,0.879514238,-0.022571199,0.751407431,-0.193380276,0.116211176,-1.46911057,-0.043922334,-0.588376267,0.927554291,0.02013107,-2.718151946,-0.631078536,-0.465607243,-1.928159965,-0.438918325,0.377762575,-0.567025132,0.778096349,-2.451262763
_2344,-0.915532412,-0.915532412,-0.915532412,-0.36804537,-0.915532412,0.17683459,0.030838046,-0.18554969,-0.915532412,-0.785178354,-0.003054009,-0.915532412,-0.915532412,-0.915532412,-0.915532412,0.47143476,-0.915532412,1.615943384,1.808867389,1.636800033,1.814081552,1.756725766,-0.915532412,1.694155819,0.247225781,-0.915532412,1.128419209,0.187262915,0.693036657,0.825997796,0.781677417,-0.255940881,-0.915532412,-0.915532412,-0.454079048
_3018,-0.365506647,-1.201212799,-0.719074634,-0.633361183,-0.954786626,-0.247650651,-0.119080474,-0.397649191,-0.376220828,-0.869073174,-0.108366292,-0.354792465,-0.954786626,-0.83693063,-1.211926981,-0.729788816,-0.772645542,1.263048932,1.509475105,1.252334751,2.045184177,1.927328181,-0.226222288,1.434475835,0.609483864,-0.869073174,1.155907118,0.566627138,0.705911497,1.155907118,0.780910767,0.834481674,-1.072642622,-1.361925521,-0.858358993
_6782,-0.446318161,-0.446318161,-0.446318161,-0.446318161,-0.446318161,-0.446318161,-0.446318161,-0.446318161,-0.446318161,-0.446318161,-0.446318161,-0.446318161,-0.446318161,-0.446318161,-0.446318161,-0.446318161,-0.446318161,-0.446318161,3.801626292,-0.446318161,-0.446318161,0.076827708,-0.446318161,-0.446318161,-0.446318161,2.828574976,-0.446318161,0.798769006,-0.446318161,0.767380254,1.290526123,-0.446318161,-0.446318161,0.945249849,1.54163614
_2403,-0.495480235,-0.495480235,-0.495480235,-0.495480235,-0.495480235,-0.495480235,-0.495480235,-0.495480235,-0.495480235,-0.495480235,-0.495480235,-0.495480235,-0.495480235,-0.495480235,-0.495480235,-0.495480235,-0.495480235,2.452115174,-0.495480235,-0.495480235,1.940125897,-0.495480235,-0.495480235,2.042523752,-0.495480235,1.991324824,-0.495480235,-0.312626922,1.6036758,-0.495480235,1.621961132,-0.495480235,2.038866686,-0.495480235,-0.495480235
_7031,-0.432948911,-0.432948911,-0.432948911,-0.432948911,-0.432948911,-0.432948911,-0.432948911,-0.432948911,-0.432948911,-0.432948911,-0.432948911,-0.432948911,-0.432948911,-0.432948911,-0.432948911,-0.432948911,-0.432948911,-0.432948911,3.991485134,-0.432948911,-0.432948911,0.041775772,-0.432948911,-0.432948911,-0.432948911,2.728717478,-0.432948911,0.972236151,-0.432948911,0.440544506,1.076675581,-0.432948911,-0.432948911,0.839313239,1.598872732
_2750,-0.511918452,-0.511918452,-0.511918452,-0.511918452,-0.511918452,-0.511918452,-0.511918452,-0.511918452,-0.511918452,-0.511918452,-0.511918452,-0.511918452,-0.511918452,-0.511918452,-0.511918452,-0.511918452,-0.511918452,-0.511918452,-0.511918452,-0.511918452,-0.511918452,-0.511918452,2.076941494,-0.511918452,0.419326133,-0.511918452,1.611319202,1.536819635,1.294696043,2.24456552,2.374939762,2.263190411,-0.511918452,-0.511918452,-0.511918452
_3368,-0.506831475,-0.506831475,-0.506831475,-0.506831475,-0.506831475,-0.506831475,-0.506831475,-0.506831475,-0.506831475,-0.506831475,-0.506831475,-0.506831475,-0.506831475,-0.506831475,-0.506831475,-0.506831475,-0.506831475,-0.506831475,-0.506831475,-0.506831475,-0.506831475,-0.506831475,1.620835337,-0.506831475,0.134032023,-0.506831475,1.941267086,1.813094386,1.390124478,2.197612484,2.492409693,2.095074325,-0.506831475,-0.506831475,-0.506831475
_3302,-0.483309675,-0.483309675,-0.483309675,-0.483309675,-0.483309675,-0.483309675,-0.483309675,-0.483309675,-0.483309675,-0.483309675,-0.483309675,-0.483309675,-0.483309675,-0.483309675,-0.483309675,-0.483309675,-0.483309675,-0.483309675,-0.483309675,-0.483309675,-0.483309675,-0.483309675,0.172851637,-0.483309675,0.330330352,-0.483309675,2.036349765,1.498297489,1.826378145,3.020591734,1.957610408,2.206951706,-0.483309675,-0.483309675,-0.483309675
_4569,-0.436009863,-0.436009863,-0.436009863,-0.436009863,-0.436009863,-0.436009863,-0.436009863,-0.436009863,-0.436009863,-0.436009863,-0.436009863,-0.436009863,-0.436009863,-0.436009863,-0.436009863,-0.436009863,-0.436009863,-0.436009863,3.693066862,-0.436009863,-0.436009863,-0.02556486,-0.436009863,-0.436009863,-0.436009863,3.019937058,-0.436009863,0.762489545,-0.436009863,0.590102644,0.729653944,-0.436009863,-0.436009863,1.763975351,1.238605747
_4683,-0.507518323,-0.507518323,-0.507518323,-0.507518323,-0.507518323,-0.507518323,-0.507518323,-0.507518323,-0.507518323,-0.507518323,-0.507518323,-0.507518323,-0.507518323,-0.507518323,-0.507518323,-0.507518323,-0.507518323,-0.507518323,-0.507518323,-0.507518323,-0.507518323,-0.507518323,1.683070413,-0.507518323,1.250913451,-0.507518323,2.323854873,1.92150184,0.237579886,1.876795947,2.5622863,1.846992019,-0.507518323,-0.507518323,-0.507518323
_269,-0.481835788,-0.481835788,-0.481835788,-0.481835788,-0.481835788,-0.481835788,-0.481835788,-0.481835788,-0.481835788,-0.481835788,-0.481835788,-0.481835788,-0.481835788,-0.481835788,-0.481835788,-0.481835788,-0.481835788,1.406080038,2.421998869,2.235747083,2.235747083,2.523590752,-0.058536275,1.829379551,-0.481835788,-0.481835788,-0.481835788,0.415559179,-0.481835788,-0.481835788,-0.481835788,-0.481835788,-0.481835788,-0.481835788,-0.481835788
_796,-0.377375054,0.415624172,-0.795191851,-0.573493143,0.10865673,-0.795191851,-0.053353865,-0.786664978,0.13423735,-1.537029837,-1.451761103,-1.195954901,-1.912212267,-1.136266787,-0.138622599,0.449731666,0.790806602,0.253613578,1.438848981,1.796977663,0.347409185,0.901655956,-0.010719498,0.969870943,-1.801362913,0.381516679,-0.496751282,0.93576345,2.521761903,1.063666551,0.091602983,0.355936058,0.526473526,-0.24094508,-0.181256966
_6717,-0.718141539,0.004262633,0.389021377,0.098489265,0.349760281,-0.404052769,0.192715896,-0.60821047,0.067080387,-0.380496111,-1.3541713,-2.492743094,-3.694132642,-0.513983838,-0.529688277,0.805188999,0.648144613,-0.137077313,1.00149448,0.169159238,0.286942527,0.404725816,0.3576125,1.244913278,-0.545392715,0.640292394,0.443986912,0.36546472,1.401957663,0.671701271,-0.027146244,0.860154533,0.985790042,-0.71028932,0.726666806
_2552,-0.681821827,-1.291758285,-0.439233462,-1.35413815,-1.10461869,-0.217438387,-0.168920714,0.07366765,-0.397646886,-0.161989618,0.184565188,-0.67489073,-2.373009279,-0.681821827,0.267738341,0.184565188,-0.42537127,1.487611258,1.799510583,1.50147345,1.958925794,1.619302084,-0.716477307,1.854959352,-0.182782906,-0.356060309,0.350911495,0.309324918,-0.099609753,0.614293147,1.099469875,-0.494682231,-0.155058522,-1.007583344,-0.321404828
_1915,-0.668700561,0.101574769,0.595341006,-0.481069391,0.289205939,-0.629199262,-0.194684973,-0.540321339,0.585465681,-0.994586278,-1.508103164,-2.149999272,-3.196783695,-1.379723942,-0.086056401,0.980478671,0.763221526,0.358333212,1.385366985,0.822473475,0.476837109,0.516338408,0.121325418,1.39524231,-0.777329133,0.24970464,0.476837109,0.81259815,0.634842305,0.881725423,0.131200743,0.64471763,0.842224124,-0.964960303,0.506463083
_1890,0.062894285,0.737486216,0.222666058,0.577714443,-0.815850467,0.000760818,-0.008115392,0.204913639,-0.851355305,-1.179775061,-0.558440388,-1.605833122,-1.312918205,-2.12065328,-1.073260545,1.030401133,-2.031891184,0.542209605,0.613219281,1.252306374,-0.95786982,-0.03474402,0.391314041,0.604343072,1.412078147,-0.372039986,1.989031772,-0.95786982,-0.123506117,0.391314041,1.030401133,0.506704766,0.329180574,0.666476539,1.438706776
_2940,-0.727713895,-0.727713895,-0.558769968,-0.727713895,-0.727713895,-0.727713895,-0.264807537,0.24540312,-0.727713895,-0.727713895,-0.727713895,-0.727713895,-0.727713895,-0.727713895,-0.727713895,0.7049306,-0.727713895,0.742098263,2.036208738,-0.727713895,-0.727713895,0.684657328,-0.727713895,-0.727713895,0.309601812,1.982146682,-0.727713895,1.157700322,-0.727713895,1.569923502,1.745625185,0.819812469,-0.727713895,1.542892473,1.836854905
_3843,-1.064985062,0.107679886,-1.064985062,-1.064985062,-0.726064557,-1.064985062,0.412708341,-0.631166816,-0.143121288,-1.064985062,-0.217683799,-1.064985062,-1.064985062,0.697401566,0.900753869,-1.064985062,-0.576939535,1.551481239,-1.064985062,1.402356217,0.012782145,-0.27191108,-1.064985062,1.917515385,-1.064985062,-0.30580313,0.751628847,0.96853797,0.778742487,0.839748178,1.931072205,0.100901476,1.754833543,0.846526588,-0.387144052
_5996,0.347493072,-1.421184239,-0.838561125,-0.630481441,0.399512993,-0.255938011,-0.932196983,0.097797451,-0.495229647,-1.941383448,-0.359977853,-1.02583284,-0.557653552,-0.474421679,-0.380785821,0.264261198,-0.505633631,0.295473151,0.722036502,-0.547249568,1.283851648,-0.880177062,1.502335316,0.69082455,0.461936898,-0.703309331,-0.786541204,0.129009404,3.395860437,1.179811806,0.774056423,-0.880177062,0.919712202,0.233049246,0.919712202
_1193,-0.454974971,-0.454974971,-0.454974971,-0.454974971,-0.454974971,-0.454974971,-0.454974971,-0.454974971,-0.454974971,-0.454974971,-0.454974971,-0.454974971,-0.454974971,-0.454974971,-0.454974971,-0.454974971,-0.454974971,-0.454974971,-0.454974971,-0.454974971,-0.454974971,-0.454974971,1.594518765,-0.454974971,-0.454974971,-0.454974971,1.579774205,3.26065396,1.579774205,2.007366424,0.282252991,2.434958642,-0.454974971,-0.454974971,-0.454974971
_2451,-0.434216518,-0.434216518,-0.434216518,-0.434216518,-0.434216518,-0.434216518,-0.434216518,-0.434216518,-0.434216518,-0.434216518,-0.434216518,-0.434216518,-0.434216518,-0.434216518,-0.434216518,-0.434216518,-0.434216518,0.986757037,-0.054277065,-0.434216518,-0.434216518,2.772472466,-0.434216518,-0.434216518,-0.434216518,-0.434216518,-0.434216518,-0.434216518,1.670648052,2.970040982,-0.434216518,2.673688208,-0.434216518,-0.434216518,1.138732818
