MF,P1,P2,P3,P4,P5,P8,P9,P10,P11,P12,P13,P14,P15,P17,P18,P19,P20,Q1,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q17,Q18,Q19,Q20
_359,-0.332270524,0.821882761,-0.903851199,-0.716988286,-0.81591571,-0.618060861,-1.629318978,-0.552109245,-0.28830278,-0.793931838,-0.695004414,-1.079722175,-2.112964164,-0.826907646,-0.310286652,-0.431197948,-1.519399617,1.602310221,1.646277965,0.96477793,1.041721482,0.887834378,0.481132744,1.426439244,0.338237575,1.07469729,0.986761802,0.898826314,1.85512475,-0.34326246,0.041455302,0.01947143,0.283277895,0.371213383,-0.771947966
_3355,-1.779700836,-0.307638536,-1.687118302,-1.168656108,-0.752034702,-1.316788163,0.599670303,-0.733518195,-0.307638536,-0.677968675,-0.863133744,-0.946458025,-1.437145458,-0.696485182,0.284889685,-0.927941518,0.071949855,1.303297565,-0.085440453,1.960633561,0.91445092,0.108982869,-0.178022988,1.571786916,-0.594644394,0.442279994,1.081099482,0.997775201,0.738544104,0.183048897,1.719918971,0.608928556,1.414396607,0.294147938,0.16453239
_1024,-0.850706785,-0.850706785,-0.850706785,-0.850706785,-0.850706785,-0.728709172,-0.850706785,-0.850706785,-0.850706785,-0.850706785,-0.396875664,-0.850706785,-0.850706785,-0.850706785,-0.850706785,-0.850706785,-0.850706785,1.335490443,1.508727054,1.291571302,1.447728247,1.333050491,0.888979179,1.398929202,1.054895933,-0.850706785,1.169573689,1.020736601,0.93289832,1.071975599,1.186653355,0.97681746,-0.850706785,-0.850706785,-0.179719912
_1468,-0.746267729,-0.331109705,-1.042809174,-0.271801416,-1.612168749,-1.06653249,-0.331109705,-1.339350619,0.356866448,-0.853022649,-1.019085858,-0.734406071,-1.493552171,-1.612168749,-0.224354785,0.095909976,-0.319248047,1.258352442,0.641546235,1.400692335,0.428036395,-0.212493127,-0.603927835,2.159838435,0.226388212,0.333143132,0.356866448,0.534791315,1.258352442,0.333143132,1.48372394,0.878779392,1.981913568,-0.556481204,0.641546235
_569,-0.960651513,-0.960651513,-0.960651513,-0.187300068,-0.960651513,-0.960651513,0.394212259,-0.960651513,-0.960651513,0.295295214,-0.960651513,-0.960651513,-0.960651513,-0.960651513,-0.960651513,-0.960651513,-0.301204544,1.389377685,1.659151445,1.587211775,1.701116252,1.620184124,0.580056405,1.554239427,0.634011157,-0.960651513,0.954742183,0.684968423,0.421189635,0.792877927,0.966732128,0.343254994,-0.960651513,-0.810777202,0.130433472
_1255,-0.789189252,-0.789189252,-0.417331096,-0.789189252,-0.789189252,-0.789189252,-0.789189252,-0.789189252,-0.789189252,-0.789189252,-0.789189252,-0.789189252,-0.789189252,-0.789189252,-0.789189252,-0.789189252,-0.789189252,1.3378394,1.45683401,1.181658974,1.114724506,0.705680535,1.077538691,1.464271173,0.542062946,-0.789189252,1.613014435,0.445379826,2.02949557,1.43452252,0.64618323,1.151910322,-0.789189252,-0.789189252,-0.789189252
_1092,-0.187188104,-0.312095294,0.252001697,-1.416113691,-1.416113691,-0.505499977,-0.25971486,-1.416113691,-0.388651315,-0.533704827,-1.416113691,-0.138836933,-1.416113691,-0.743226566,-0.553851148,-0.908426399,-1.416113691,1.170673939,1.396312736,1.154556882,1.154556882,1.00950337,1.00950337,1.307668923,0.517933135,-1.21465048,1.343932301,1.049796013,1.214995846,1.178732468,0.550167249,0.916830293,0.038450693,-0.070339441,-0.952748306
_687,-0.619274981,-0.619274981,-0.619274981,-0.619274981,-0.619274981,-0.619274981,-0.619274981,-0.619274981,-0.619274981,-0.619274981,-0.619274981,-0.619274981,-0.619274981,-0.619274981,-0.619274981,-0.619274981,-0.619274981,-0.060306609,0.09820681,-0.619274981,0.340148344,-0.202134405,1.841854419,-0.185448782,0.498661763,-0.619274981,2.142195634,1.850197231,1.908596912,2.183909692,1.332942916,1.875225665,-0.619274981,-0.619274981,-0.619274981
_7051,-1.147771153,-0.268998382,0.177096192,-1.147771153,-1.147771153,0.029516032,-0.409870353,-1.147771153,-1.147771153,-1.147771153,-0.564158702,0.254240366,-1.147771153,-0.054336332,-1.147771153,-1.147771153,-1.147771153,1.200095027,1.183324555,1.062577151,1.243698256,1.297363769,0.656731711,1.196740933,2.005077718,-1.147771153,1.015619828,0.609774388,0.85462329,0.864685573,0.834498722,1.022328017,-0.285768855,-0.980066425,-0.3193098
_590,-0.764775993,-0.764775993,-0.764775993,-0.764775993,-0.452877138,-0.764775993,-0.764775993,-0.764775993,-0.764775993,-0.764775993,-0.764775993,-0.764775993,-0.764775993,-0.764775993,-0.764775993,-0.116026374,-0.764775993,1.674273055,1.961220002,1.705462941,2.02983775,1.699224964,0.17715855,1.954982025,0.551437176,-0.764775993,0.669958741,0.514009314,0.482819428,0.707386604,0.601340993,0.37053584,-0.764775993,-0.764775993,-0.764775993
_1025,-0.699333028,-0.699333028,-0.699333028,-0.316166842,-0.699333028,-0.699333028,-0.699333028,-0.699333028,-0.699333028,-0.300840194,-0.699333028,-0.699333028,-0.699333028,-0.699333028,-0.699333028,-0.699333028,-0.699333028,1.783583859,2.381323109,1.523030852,2.220393311,1.775920535,-0.001970569,2.067126836,0.212602495,-0.699333028,0.258582438,0.36586897,0.089989316,0.465492178,0.718381861,0.044009373,-0.699333028,-0.699333028,-0.699333028
_3067,-1.765381707,-0.092544894,-1.502975933,-1.09296691,-0.625556624,-1.297971421,0.489667919,-0.658357345,-0.773159872,-1.051966007,-0.961764022,-0.92076312,-1.552177015,-0.182746879,0.563469543,-1.019165286,0.096059257,1.473689574,0.301063768,1.539291017,0.432266656,0.112459618,0.087859076,1.178483077,-1.338972323,0.456867197,0.620870806,1.367087228,1.276885243,0.907877122,1.58029192,0.801274776,1.096481273,0.186261242,0.268263046
_908,-0.613246317,-0.51026213,0.227791215,-0.759140583,-0.853542755,-1.008019036,-0.78488663,-1.016601052,-0.853542755,-0.836378724,-0.72481252,-0.467352051,-1.162495318,-1.085257177,-0.741976552,-0.810632677,-0.853542755,1.206140997,1.772554029,1.068828747,1.085992778,0.862860372,1.068828747,1.403527357,0.330775403,-1.188241365,1.729643951,1.120320841,1.37778131,1.480765497,0.210627184,0.965844559,-0.218473598,-0.58750027,-0.836378724
_6598,-0.592059294,-0.420745841,-0.448155994,-1.702170471,-0.016446092,-0.941538739,-1.702170471,-0.13293924,-0.818193053,-0.13293924,-0.338515384,-0.845603205,-1.359543565,-0.290547617,-0.317957769,-0.859308281,-0.530386451,2.162661034,0.08634198,0.168572438,1.95708489,-0.311105231,-0.667437214,1.655573212,0.291918124,2.148955958,0.120604671,1.052549857,0.799005946,-0.153496854,1.292388691,-0.372778074,1.059402395,0.689365336,-0.530386451
