"","feature_cluster","no_features","detect_proportion","mean_omics"
"1",1,10,0.297142857142857,0.13607
"2",2,45,0.235555555555556,0.131013333333333
"3",3,21,0.342857142857143,0.396214285714286
"4",4,9,0.250793650793651,0.364833333333333
"5",5,33,0.718614718614719,0.451024242424242
"6",6,20,0.335714285714286,0.474155
"7",7,33,0.877922077922078,0.948454545454545
"8",8,12,0.435714285714286,0.1886
